,labels,set1,set2,set3
2025-01-01,0,22,20,18
2025-01-02,0,22,20,18
2025-01-03,4,18,18,18
2025-01-04,0,22,20,18
2025-01-05,2,20,20,20
2025-01-06,2,20,20,20
2025-01-07,3,22,18,18
2025-01-08,2,20,20,20
2025-01-09,2,20,20,20
2025-01-10,2,20,20,20
2025-01-11,3,22,18,18
2025-01-12,1,22,22,22
2025-01-13,1,22,22,22
2025-01-14,1,22,22,22
2025-01-15,1,22,22,22
2025-01-16,1,22,22,22
2025-01-17,2,20,20,20
2025-01-18,3,22,18,18
2025-01-19,3,22,18,18
2025-01-20,3,22,18,18
2025-01-21,0,22,20,18
2025-01-22,0,22,20,18
2025-01-23,3,22,18,18
2025-01-24,1,22,22,22
2025-01-25,1,22,22,22
2025-01-26,3,22,18,18
2025-01-27,0,22,20,18
2025-01-28,2,20,20,20
2025-01-29,3,22,18,18
2025-01-30,2,20,20,20
2025-01-31,0,22,20,18
2025-02-01,0,22,20,18
2025-02-02,0,22,20,18
2025-02-03,3,22,18,18
2025-02-04,1,22,22,22
2025-02-05,2,20,20,20
2025-02-06,2,20,20,20
2025-02-07,2,20,20,20
2025-02-08,3,22,18,18
2025-02-09,3,22,18,18
2025-02-10,3,22,18,18
2025-02-11,3,22,18,18
2025-02-12,3,22,18,18
2025-02-13,0,22,20,18
2025-02-14,1,22,22,22
2025-02-15,2,20,20,20
2025-02-16,2,20,20,20
2025-02-17,0,22,20,18
2025-02-18,2,20,20,20
2025-02-19,4,18,18,18
2025-02-20,4,18,18,18
2025-02-21,0,22,20,18
2025-02-22,4,18,18,18
2025-02-23,4,18,18,18
2025-02-24,4,18,18,18
2025-02-25,4,18,18,18
2025-02-26,4,18,18,18
2025-02-27,4,18,18,18
